name,owner,full_name,description,stars,gameScore,language,license,homepage,html_url,topics,pushed_at
plyr,sampotts,sampotts/plyr,"A simple HTML5, YouTube and Vimeo player",29091,29291,JavaScript,MIT,https://plyr.io,https://github.com/sampotts/plyr,html5-video|javascript|plyr|vimeo|youtube,2025-08-26T10:06:52Z
flv.js,bilibili,bilibili/flv.js,HTML5 FLV Player,23218,23218,JavaScript,Apache-2.0,,https://github.com/bilibili/flv.js,,2024-07-07T07:28:53Z
DPlayer,DIYgod,DIYgod/DPlayer,":lollipop: Wow, such a lovely HTML5 danmaku video player",16037,16167,JavaScript,MIT,https://dplayer.diygod.dev,https://github.com/DIYgod/DPlayer,danmaku|dash|dplayer|flv|hls|player|video|webtorrent,2025-05-16T02:50:12Z
WebGL-Fluid-Simulation,PavelDoGreat,PavelDoGreat/WebGL-Fluid-Simulation,Play with fluids in your browser (works even on mobile),15705,15805,JavaScript,MIT,https://paveldogreat.github.io/WebGL-Fluid-Simulation/,https://github.com/PavelDoGreat/WebGL-Fluid-Simulation,fluid|gpu|navier-stokes|simulation|webgl,2024-11-12T13:29:23Z
2048,gabrielecirulli,gabrielecirulli/2048,The source code for 2048 ,12851,12961,JavaScript,MIT,https://play2048.co,https://github.com/gabrielecirulli/2048,2048|2048-game|game|javascript|online-game|puzzle-game,2024-10-24T13:06:19Z
react-diagrams,projectstorm,projectstorm/react-diagrams,"a super simple, no-nonsense diagramming library written in react that just works",9013,9213,TypeScript,MIT,https://projectstorm.cloud/react-diagrams,https://github.com/projectstorm/react-diagrams,beta|canvas|demo|diagram|diagrams|drag|editing-diagrams|factories|flowchart|modular|react|svg|typescript|visualization|web,2025-04-03T17:33:25Z
xgplayer,bytedance,bytedance/xgplayer,A HTML5 video player with a parser that saves traffic,8912,9196,JavaScript,MIT,https://h5player.bytedance.com/,https://github.com/bytedance/xgplayer,dash|flv|flv-parser|fmp4|hls|hls-player|html5-video|html5-video-player|mp4|mp4box|player|video|video-player|videoplayer,2025-08-20T07:54:05Z
gb-studio,chrismaltby,chrismaltby/gb-studio,A quick and easy to use drag and drop retro game creator for your favourite handheld video game system,8930,9079,TypeScript,MIT,https://www.gbstudio.dev,https://github.com/chrismaltby/gb-studio,,2025-08-25T15:26:12Z
codecombat,codecombat,codecombat/codecombat,Game for learning how to code.,8219,8369,JavaScript,MIT,http://codecombat.com,https://github.com/codecombat/codecombat,,2025-08-26T11:10:22Z
APlayer,DIYgod,DIYgod/APlayer,":lollipop: Wow, such a beautiful HTML5 music player",7540,7640,JavaScript,MIT,http://aplayer.js.org,https://github.com/DIYgod/APlayer,aplayer|html|html5|music|player,2024-02-23T16:58:13Z
flexboxfroggy,thomaspark,thomaspark/flexboxfroggy,A game for learning CSS flexbox 🐸,7178,7365,JavaScript,MIT,https://flexboxfroggy.com,https://github.com/thomaspark/flexboxfroggy,css|flexbox|flexbox-froggy|game,2025-08-24T02:37:13Z
MCSManager,MCSManager,MCSManager/MCSManager,"Quick deployment, distributed, multi-user, modern management panel for Minecraft and Steam game servers  /  一键安装，分布式架构，多用户销售，现代化的 Minecraft 和 Steam 游戏服务器管理面板",4079,4308,TypeScript,Apache-2.0,https://mcsmanager.com,https://github.com/MCSManager/MCSManager,docker|mcsmanager|minecraft|minecraft-server-software|nodejs|server-web-panel|steam-game-server-manager|webshell,2025-08-25T12:00:45Z
vizceral,Netflix,Netflix/vizceral,WebGL visualization for displaying animated traffic graphs,4087,4137,JavaScript,Apache-2.0,,https://github.com/Netflix/vizceral,graph|monitoring|traffic|visualization|webgl,2023-11-28T04:23:58Z
ArtPlayer,zhw2590582,zhw2590582/ArtPlayer,:art: ArtPlayer.js is a modern and full featured HTML5 video player,3169,3427,JavaScript,MIT,https://artplayer.org,https://github.com/zhw2590582/ArtPlayer,contextmenu|danmu|highlight|html5|layers|player|quality|screenshot|subtitle|thumbnails|video,2025-08-25T02:42:06Z
screeps,screeps,screeps/screeps,A standalone server for programming game Screeps,3222,3222,JavaScript,ISC,,https://github.com/screeps/screeps,,2024-05-16T21:06:31Z
supersplat,playcanvas,playcanvas/supersplat,3D Gaussian Splat Editor,2669,2894,TypeScript,MIT,https://superspl.at/editor,https://github.com/playcanvas/supersplat,3d-gaussian-splatting|3dgs|gaussian-splatting|pcui|playcanvas|typescript|webgl|webgpu,2025-08-21T09:22:59Z
Sabaki,SabakiHQ,SabakiHQ/Sabaki,An elegant Go board and SGF editor for a more civilized age.,2565,2735,JavaScript,MIT,https://sabaki.yichuanshen.de/,https://github.com/SabakiHQ/Sabaki,baduk|board-game|electron|go|goban|igo|javascript|linux|macos|sgf|weiqi|windows,2024-03-23T00:57:20Z
