name,owner,full_name,description,stars,gameScore,gameType,language,license,homepage,html_url,topics,pushed_at
Chart.js,chartjs,chartjs/Chart.js,Simple HTML5 Charts using the <canvas> tag,66428,66629,strategy,JavaScript,MIT,https://www.chartjs.org/,https://github.com/chartjs/Chart.js,canvas|chart|graph|html5|html5-charts|javascript,2025-08-18T04:22:01Z
Babylon.js,BabylonJS,BabylonJS/Babylon.js,"Babylon.js is a powerful, beautiful, simple, and open game and rendering engine packed into a friendly JavaScript framework.",24459,24729,other,TypeScript,Apache-2.0,http://www.babylonjs.com,https://github.com/BabylonJS/Babylon.js,3d|babylon|game-development|game-engine|game-engine-3d|typescript|webaudio|webgl|webgl2|webgpu|webvr|webxr,2025-08-26T16:23:23Z
xterm.js,xtermjs,xtermjs/xterm.js,A terminal for the web,19027,19295,other,TypeScript,MIT,https://xtermjs.org/,https://github.com/xtermjs/xterm.js,console|development|javascript|pty|ssh|terminal|terminal-emulators|tty|typescript|vt100|webgl|xterm,2025-08-24T13:08:57Z
nivo,plouc,plouc/nivo,"nivo provides a rich set of dataviz components, built on top of the awesome d3 and React libraries",13727,13862,strategy,TypeScript,MIT,https://nivo.rocks,https://github.com/plouc/nivo,canvas|charts|components|d3js|dataviz|isomorphic|react|svg,2025-05-24T00:16:59Z
2048,gabrielecirulli,gabrielecirulli/2048,The source code for 2048 ,12851,12961,maze,JavaScript,MIT,https://play2048.co,https://github.com/gabrielecirulli/2048,2048|2048-game|game|javascript|online-game|puzzle-game,2024-10-24T13:06:19Z
engine,playcanvas,playcanvas/engine,"Powerful web graphics runtime built on WebGL, WebGPU, WebXR and glTF",10789,11089,other,JavaScript,MIT,https://playcanvas.com,https://github.com/playcanvas/engine,3d-gaussian-splatting|game-development|game-engine|gamedev|gaussian-splatting|gltf|javascript|nodejs|playcanvas|typescript|virtual-reality|webgl|webgl2|webgpu|webxr,2025-08-26T08:11:14Z
react-diagrams,projectstorm,projectstorm/react-diagrams,"a super simple, no-nonsense diagramming library written in react that just works",9013,9213,other,TypeScript,MIT,https://projectstorm.cloud/react-diagrams,https://github.com/projectstorm/react-diagrams,beta|canvas|demo|diagram|diagrams|drag|editing-diagrams|factories|flowchart|modular|react|svg|typescript|visualization|web,2025-04-03T17:33:25Z
tsparticles,tsparticles,tsparticles/tsparticles,"tsParticles - Easily create highly customizable JavaScript particles effects, confetti explosions and fireworks animations and use them as animated backgrounds for your website. Ready to use components available for React.js, Vue.js (2.x and 3.x), Angular, Svelte, jQuery, Preact, Inferno, Solid, Riot and Web Components.",8427,8776,other,TypeScript,MIT,https://particles.js.org,https://github.com/tsparticles/tsparticles,2d|angular|animations|bg|canvas|confetti|fireworks|hacktoberfest|html|javascript|js|npm|particles|react|svelte|ts|tsparticles|typescript|vue|web,2025-08-25T17:55:05Z
html5-qrcode,mebjas,mebjas/html5-qrcode,A cross platform HTML5 QR code reader. See end to end implementation at: https://scanapp.org,5709,5884,platformer,TypeScript,Apache-2.0,https://qrcode.minhazav.dev,https://github.com/mebjas/html5-qrcode,barcode|camera|html5|javascript|qrcode|scanning,2025-07-23T04:07:08Z
canvas-editor,Hufe921,Hufe921/canvas-editor,rich text editor by canvas/svg,4463,4783,other,TypeScript,MIT,https://hufe.club/canvas-editor-docs,https://github.com/Hufe921/canvas-editor,ai|browser|canvas|canvas-editor|control|date-picker|editor|emr|latex|pdf|pdf-generation|rich-text|svg|typescript|vite|word|wysiwyg,2025-08-26T14:26:43Z
visualization-collection,hepengwei,hepengwei/visualization-collection,🌈 一个专注于前端视觉效果的集合应用，包含CSS动效、Canvas动画、Three.js3D、人工智能应用等上百个案例（持续更新）,4479,4647,other,TypeScript,MIT,,https://github.com/hepengwei/visualization-collection,canvas|collection|css3|frontend|javascript|react|threejs|typescript|visualization,2025-08-04T11:45:01Z
MCSManager,MCSManager,MCSManager/MCSManager,"Quick deployment, distributed, multi-user, modern management panel for Minecraft and Steam game servers  /  一键安装，分布式架构，多用户销售，现代化的 Minecraft 和 Steam 游戏服务器管理面板",4079,4308,digging,TypeScript,Apache-2.0,https://mcsmanager.com,https://github.com/MCSManager/MCSManager,docker|mcsmanager|minecraft|minecraft-server-software|nodejs|server-web-panel|steam-game-server-manager|webshell,2025-08-25T12:00:45Z
umbrella,thi-ng,thi-ng/umbrella,"⛱  Broadly scoped ecosystem & mono-repository of 210 TypeScript projects (and ~185 examples) for general purpose, functional, data driven development",3635,3980,other,TypeScript,Apache-2.0,https://thi.ng,https://github.com/thi-ng/umbrella,color|data-structures|dsl|functional-programming|geometry|html|monorepo|parser-combinators|reactive-programming|shadergraph|streams|tensors|transducers|typescript|ui|vectors|visualization|webassembly|webgl|ziglang,2025-08-21T21:28:34Z
supersplat,playcanvas,playcanvas/supersplat,3D Gaussian Splat Editor,2669,2894,other,TypeScript,MIT,https://superspl.at/editor,https://github.com/playcanvas/supersplat,3d-gaussian-splatting|3dgs|gaussian-splatting|pcui|playcanvas|typescript|webgl|webgpu,2025-08-21T09:22:59Z
biomes-game,ill-inc,ill-inc/biomes-game,"Biomes is an open source sandbox MMORPG built for the web using web technologies such as Next.js, Typescript, React and WebAssembly.",2604,2764,other,TypeScript,MIT,https://www.biomes.gg,https://github.com/ill-inc/biomes-game,browser|browser-game|engine|games|mmo|mmorpg-game|mmorpg-server|nextjs|nodejs|react|reactjs,2023-11-10T03:57:49Z
Sabaki,SabakiHQ,SabakiHQ/Sabaki,An elegant Go board and SGF editor for a more civilized age.,2565,2735,other,JavaScript,MIT,https://sabaki.yichuanshen.de/,https://github.com/SabakiHQ/Sabaki,baduk|board-game|electron|go|goban|igo|javascript|linux|macos|sgf|weiqi|windows,2024-03-23T00:57:20Z
epicgames-freebies-claimer,Revadike,Revadike/epicgames-freebies-claimer,Claim available free game promotions from the Epic Games Store.,2243,2343,fps,JavaScript,MIT,,https://github.com/Revadike/epicgames-freebies-claimer,claimer|epic-games|epicgames|epicgames-freebies-claimer|free-games|freebies|giveaway|giveaway-bot|giveawaybot|hacktoberfest,2022-12-28T02:26:08Z
Excalibur,excaliburjs,excaliburjs/Excalibur,🎮 Your friendly TypeScript 2D game engine for the web 🗡️,2062,2302,other,TypeScript,BSD-2-Clause,https://excaliburjs.com,https://github.com/excaliburjs/Excalibur,excalibur|excaliburjs|game-development|game-engine|game-framework|gamedev|games|html5-canvas|typescript,2025-08-26T13:41:01Z
LayaAir,layabox,layabox/LayaAir,LayaAir is a fully platform rendering engine with rich 2D/3D rendering capabilities and a mature integrated development platform,1940,2200,platformer,TypeScript,MIT,https://www.layaair.com/,https://github.com/layabox/LayaAir,2d-game-engine|3d-engine|html|html5|javascript|minigames|physics|typescript|webgl|webgl2|webgpu,2025-08-26T08:26:10Z
t-rex-runner,wayou,wayou/t-rex-runner,the t-rex runner game extracted from chromium,2083,2183,other,JavaScript,BSD-3-Clause,https://chromedino.com,https://github.com/wayou/t-rex-runner,chrome|easter-egg|google|javascript|t-rex-runner,2024-07-28T08:43:00Z
pinus,node-pinus,node-pinus/pinus,"A fast,scalable,distributed game server framework for Node.js, Powered by TypeScript.  一个TypeScript写的node.js分布式游戏/应用服务器框架（原型基于pomelo）。",1909,2069,other,JavaScript,MIT,https://pinus.io,https://github.com/node-pinus/pinus,game-server|nodejs|typescript,2025-08-06T09:27:08Z
r2modmanPlus,ebkr,ebkr/r2modmanPlus,A simple and easy to use mod manager for several games using Thunderstore,1680,1970,other,TypeScript,MIT,,https://github.com/ebkr/r2modmanPlus,content-warning|core-keeper|dyson-sphere-program|for-the-king|gtfo|h3vr|lethal-company|mechanica|mod-manager|modding|muck|northstar|outward|risk-of-rain-2|rounds|subnautica|talespire|titanfall-2|valheim,2025-08-26T12:04:47Z
modern-screenshot,qq15725,qq15725/modern-screenshot,📸 Quickly generate image from DOM node using HTML5 canvas and SVG.,1710,1963,other,TypeScript,MIT,https://toolpkg.com/html-to-image,https://github.com/qq15725/modern-screenshot,canvas|dom|dom-to-image|html-to-image|html2canvas|image|javascript|modern-screenshot|screenshot|svg|typescript,2025-08-19T15:53:59Z
